Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,8.131099701,,11.19699955,11.37689972,10.39519978,9.488900185,,9.100500107,8.278499603,7.583099842,6.828700066,,7.664800167,7.573800087,7.185299873,6.758100033,6.320300102,6.036099911,6.13710022,8.343999863,8.055500031,,7.291800022,7.073599815,6.91410017,6.906499863,6.998899937,6.339700222,
Central Europe and the Baltics,CEB,,,10.56224874,,12.23264405,11.41859,10.54176235,9.224959084,9.051671519,10.6613115,12.56163797,12.7497591,,14.5511006,13.67041117,12.82999586,10.66818391,8.2145959,6.981925522,8.488824534,9.901967619,9.789452241,9.978224158,10.0460624,8.951639025,7.816352178,6.488548429,5.293790484,
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,4.116099834,4.80670023,4.407599926,4.484600067,4.74669981,4.825900078,4.800700188,4.917900085,4.796700001,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,5.230000019,,4.489999771,,4.699999809,,7.136000156,,11.15799999,,10.39000034,10.16800022,,10.1619997,9.340000153,,8.427000046,9.284999847,,8.424300194,,6.659399986,,6.664899826,,6.738200188,6.958099842,
China,CHN,2.5,2.299999952,2.299999952,2.599999905,2.799999952,2.900000095,3,3.099999905,3.099999905,3.099999905,3.099999905,3.599999905,4,4.300000191,4.199999809,4.199999809,4.099999905,4,4.199999809,4.300000191,4.099999905,4.099999905,4.099999905,4.050000191,4.099999905,,,3.900000095,
Cote d'Ivoire,CIV,,,6.699999809,,,4.099999905,,,4.099999905,,,,,,,,,,,,,,7.222899914,4.254499912,,,2.59920001,,
Cameroon,CMR,,,,,,,8.06000042,,,,,7.460000038,,,,4.400000095,,,,,4.110000134,,,,3.533799887,,,,
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,2.849100113,,,,,,,4.485199928,,,,,,
"Congo, Rep.",COG,,,,,,,,,,,,,,,,19.79560089,,,,16.10000038,,,10,,,,,,
Colombia,COL,,10.11999989,9.43999958,,8.25,8.720000267,11.81000042,12.14000034,15,20.05999947,20.52000046,15.03999996,15.63300037,14.18900013,13.71700001,11.86999989,,11.20400047,11.27299976,12.06599998,10.98400021,10.11089993,9.74050045,9.051699638,8.572199821,8.298999786,8.691800117,8.87250042,
Comoros,COM,,,,,,,,,,,,,,,4.571400166,,,,,,,,,,,,,,
Cabo Verde,CPV,23,,,,,,,,,,,,,,,,,,,,10.67000008,,,,,31.31270027,,12.23999977,
Costa Rica,CRI,4.511000156,5.373000145,3.927000046,3.953999996,4.045000076,5.176000118,6.162000179,5.681000233,5.327000141,5.894999981,5.081999779,5.914999962,6.334000111,6.558000088,6.390999794,6.571000099,5.739999771,4.489999771,4.781000137,7.712999821,7.170800209,10.13939953,,,,,,,
Caribbean small states,CSS,,15.66699417,16.54601213,17.17848148,16.16002945,15.69398741,15.26756851,14.95577734,14.08302026,13.95910712,,12.85387564,12.29319812,11.61726483,10.58729598,10.38226992,9.236477887,8.432858366,8.72811701,9.920923771,9.410079604,10.24075645,11.14638479,11.43210572,10.14039833,10.31054981,10.48226929,,
Cuba,CUB,,,,,,8.270000458,7.610000134,7.099999905,6.230000019,6.260000229,5.449999809,4.079999924,3.309999943,2.329999924,1.853999972,1.950000048,1.912999988,1.787999988,1.582999945,1.669999957,2.5,3.180000067,3.460000038,3.289999962,2.700000048,2.400000095,,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,9.779999733,,13.02999973,12.60999966,11.71000004,,,
Cayman Islands,CYM,,5.909999847,,7.21999979,5.739999771,4.940000057,5.099999905,4.139999866,4.170000076,,,7.539999962,5.369999886,3.609999895,3.450000048,3.539999962,2.619999886,3.829999924,3.970000029,6.039999962,,6.78000021,6.210000038,6.269999981,4.699999809,4.239999771,,,
Cyprus,CYP,1.799999952,3,,2.700000048,2.700000048,2.599999905,3.099999905,3.400000095,3.299999952,,,,,,,,4.542900085,3.921999931,3.654700041,5.363900185,6.262800217,,11.79520035,15.87069988,16.08799934,14.90839958,12.94979954,11.05150032,
Czech Republic,CZE,0.699999988,,2.599999905,,,,,,,,,,,,,,,,,6.662099838,7.279099941,6.711100101,6.978199959,6.952700138,6.107900143,5.04640007,3.951400042,2.889800072,
Germany,DEU,4.890299797,,,,,,,,,,,,,,,,,,,7.741600037,6.966400146,5.824399948,5.379399776,5.23059988,4.98059988,4.624199867,4.121799946,3.745500088,
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,,9.529999733,,,,,,23.18000031,,15.67000008,,10.96000004,,,,,,,,,,,,,,,,,
Denmark,DNK,,,,,,,,,,5.141499996,4.475999832,,,,,,,,,6.0072999,7.463600159,7.572700024,7.525800228,6.99669981,6.58920002,6.168300152,6.180699825,5.7427001,
Dominican Republic,DOM,,,,,,,,,,,6.432400227,7.261799812,,6.937699795,6.302899837,6.586599827,5.654500008,5.157700062,4.76429987,5.466599941,5.211999893,6.086900234,6.722000122,7.351500034,6.718900204,,,5.831699848,
Algeria,DZA,21.26000023,20.60000038,24.37999916,26.22999954,27.73999977,31.84000015,,25.43000031,,,29.77000046,27.29999924,25.89999962,23.71999931,17.64999962,15.27000046,12.27000046,13.78999996,11.32999992,10.15999985,9.960000038,9.960000038,10.97000027,9.819999695,10.20720005,11.20610046,10.20240021,13.56999969,
East Asia & Pacific (excluding high income),EAP,2.604842487,2.587959682,2.543440538,2.797432765,2.97096434,3.058978587,3.169034975,3.330597373,3.537250783,3.604844266,3.591841427,3.773862102,4.345262723,4.320706132,4.304817926,4.475972492,4.366244998,4.299813093,4.401718363,4.217202609,3.922193067,3.867096499,3.816041379,3.744402743,3.74935281,,,3.726663976,
Early-demographic dividend,EAR,,,,,4.396572044,,,,,,5.397489532,,,,,5.537141123,,,,,4.511918418,,4.802842513,,,,,,
East Asia & Pacific,EAS,2.612261006,2.628407026,2.610481825,2.871674378,3.031819216,3.110557949,3.216211506,3.366857004,3.696489555,3.782501613,3.713369992,3.89121104,4.42193331,4.395714584,4.337370556,4.463799436,4.334699116,4.248523978,4.34303744,4.280487682,4.004425087,3.910074972,3.848357042,3.768311876,3.763587365,,,3.693635216,
Europe & Central Asia (excluding high income),ECA,,,5.631318533,6.298625387,7.591714161,7.831654286,8.449965842,9.401928027,10.57144077,11.01105573,8.946506471,8.40019653,8.238513295,8.229875508,8.043053507,7.541765942,7.348767062,7.203756913,7.407341791,8.964747823,8.434915559,7.568085031,7.037790647,7.065182236,7.175015377,7.319141837,7.369635991,7.397457101,
Europe & Central Asia,ECS,,,,,,,,,,,9.44845523,,,8.926373774,8.765159381,8.346636617,7.759267955,7.144384811,6.906058412,8.887448836,9.014109994,8.664427484,8.902139008,9.132227873,8.852928682,8.457379308,8.026140668,7.537360345,
Ecuador,ECU,,8.18999958,8.56000042,7.949999809,6.679999828,6.699999809,10.38000011,9.170000076,11.48999977,13.96000004,4.799499989,4.251699924,,5.66230011,5.00180006,3.77850008,3.549700022,3.142299891,3.91689992,4.607699871,4.087500095,3.457999945,3.234899998,3.082600117,3.479799986,3.615700006,4.597000122,3.836199999,
"Egypt, Arab Rep.",EGY,8.430000305,9.380000114,8.920000076,10.92000008,10.93000031,11.03999996,9,8.369999886,8.029999733,7.949999809,8.979999542,9.260000229,10.01000023,11.01000023,10.31999969,11.19999981,10.48999977,8.800000191,8.516799927,9.086700439,8.756500244,11.84930038,12.59720039,13.15380001,13.10490036,13.05220032,12.40670013,11.73729992,
Euro area,EMU,,,,,,,,,,,,,,,,,,,,9.479242794,10.04139068,10.12331339,11.29318629,11.93015829,11.60208645,10.83474779,10.02630056,9.052581829,
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,,,,,,,,,,,,,,,,,,,,17.8567009,19.85969925,21.39049911,24.78720093,26.09359932,24.44129944,22.05730057,19.63470078,17.22360039,
Estonia,EST,0.637000024,,,,,9.659000397,9.914999962,10.36919975,,,,,,,,,,4.592000008,5.454899788,13.54819965,16.7071991,12.32769966,10.02110004,8.630700111,7.351799965,6.186600208,6.761700153,5.760399818,
Ethiopia,ETH,,,,,3.099999905,,,,,3.713700056,,,,,,2.496900082,,,,,,,,2.25090003,,,,,
European Union,EUU,,,,,,,,,,,,,,,,,,,6.447328688,8.872231017,9.513300651,9.605318985,10.4181192,10.81662102,10.20596491,9.382416366,8.538169046,7.617956428,
Fragile and conflict affected situations,FCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,3.069000006,6.502999783,11.59500027,16.20100021,16.4260006,,15.57180023,14.96749973,13.21450043,11.69330025,,10.29049969,10.42269993,10.46930027,10.35779953,8.383600235,7.718900204,6.854000092,6.368599892,8.249500275,8.394399643,7.781000137,7.689099789,8.193400383,8.663000107,9.375900269,8.818400383,8.640199661,
Fiji,FJI,,5.929999828,5.349999905,5.880000114,5.699999809,5.400000095,5.78000021,,,,,,,8.220000267,4.699999809,3.885999918,,,8.93999958,8.720000267,8.909999847,4.405499935,9,,6.170000076,,4.319499969,,
France,FRA,,9.13409996,10.2052002,11.32129955,12.59280014,11.8355999,12.36730003,12.56620026,12.07489967,11.98079967,10.21720028,8.6104002,8.701700211,8.306500435,8.913599968,8.493499756,8.447799683,7.656700134,7.063399792,8.736300468,8.871299744,8.81099987,9.40019989,9.920599937,10.29220009,10.3593998,10.05679989,9.397199631,
Faroe Islands,FRO,,,,,,,,,,,4.170000076,4,,3.849999905,3.700000048,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,,,,17.78000069,,,,,,,,,,,,16.90999985,,,,,20.38999939,,,,,,,,
United Kingdom,GBR,,,,,,,,,,,,,,,,,,,5.614999771,7.53730011,7.786600113,8.037400246,7.885300159,7.525100231,6.110499859,5.301199913,4.813199997,4.334799767,
Georgia,GEO,,,,,,,2.400000095,5,,,,,,11.51000023,12.61999989,13.81000042,13.56999969,13.27999973,17.87000084,18.29999924,17.40999985,17.34000015,17.21999931,16.94000053,14.61999989,14.07999992,13.97000027,13.93000031,
Ghana,GHA,,,4.699999809,,,,,,8.199999809,10.10000038,10.35999966,,,,,,4.635300159,,,,5.320000172,,,2.172899961,,6.806200027,,,
Gibraltar,GIB,,6.440000057,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,,,,,,,,,,,,,4.548799992,,,,,,,,,,,,,,,,
"Gambia, The",GMB,,,,,,,,,,,,,,,,,,,,,,,9.417300224,,,,,,
Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,7.024099827,,7.842899799,8.612999916,8.862799644,9.062000275,9.655099869,9.577199936,10.83940029,11.85280037,11.24779987,,9.974599838,9.412099838,10.31070042,9.993800163,9.007699966,8.396499634,7.759699821,9.61590004,12.71310043,17.86470032,24.43930054,27.46619987,26.49139977,24.89710045,23.53910065,21.48760033,
Grenada,GRD,,13.90999985,,,26.93000031,,16.88999939,,15.23999977,,,,,,,,,,,,,,,24.20000076,24.5,22.89999962,,,
Greenland,GRL,,,,,,,12.92000008,10.07999992,11.56000042,9.029999733,11.02000046,9.529999733,8.819999695,10.30000019,10.43999958,9.25,8.399999619,,,,7.800000191,9.399999619,9.800000191,10.10000038,10.30000019,9.100000381,,,
Guatemala,GTM,,,,,,,,,,,,,,2.806799889,2.970799923,,,,,,3.496599913,4.126200199,2.764699936,3.016499996,2.716700077,2.506200075,2.826400042,,
Guam,GUM,2.831199884,3.50909996,3.837300062,5.527200222,7.599999905,7.900000095,8.282699585,9.670000076,7.739999771,13.94999981,,13.21259975,11.39000034,,7.699999809,7,7.400000095,8.300000191,,9.300000191,8.199999809,13.30000019,12.19999981,11.5,7.599999905,6.900000095,5.400000095,,
Guyana,GUY,,,11.89999962,,,,,,,,,,11.81000042,,,,10.69999981,,,,,,,,,,,12.04450035,
High income,HIC,,,6.800858966,7.262174257,7.104225229,6.90151143,,6.530522087,6.809065753,6.881076275,6.549598565,6.815641876,6.988312877,7.358605997,7.019475541,6.564323856,5.902911179,5.420510035,5.657955956,8.028219958,8.338446856,8.068259191,8.091698737,8.043979039,7.380127383,6.742600321,6.199445589,5.759509747,
"Hong Kong SAR, China",HKG,1.25,1.799999952,1.960000038,1.960000038,1.899999976,3.220000029,2.829999924,2.220000029,4.579999924,6.25,4.920000076,5.090000153,7.28000021,7.860000134,6.739999771,5.579999924,4.769999981,4.010000229,3.559999943,5.260000229,4.309999943,3.420000076,3.289999962,3.400000095,3.299999952,3.319999933,3.390000105,3.089999914,
Honduras,HND,4.78000021,4.579999924,3.059999943,,,3.24000001,4.369999886,3.319999933,4.019999981,3.849999905,,4,4.019999981,5.300000191,5.989999771,4.908699989,3.574500084,3.210500002,3.156399965,3.291699886,4.118700027,4.474500179,3.754499912,4.096000195,5.48789978,4.591599941,4.668200016,4.047999859,
Heavily indebted poor countries (HIPC),HPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,,11.14000034,,,,,9.680000305,9.710000038,11.39179993,13.55889988,16.06369972,,15.05259991,13.92380047,13.66399956,12.59780025,11.12959957,9.90929985,8.53030014,9.2020998,11.62030029,13.67800045,15.93459988,17.25110054,17.28969955,16.17519951,13.10340023,11.20810032,
Haiti,HTI,11.25,,,,,,,,,7.199999809,,,,,,,,16.79999924,,,,,14.10000038,,,,,,
Hungary,HUN,1.700000048,8.5,,,,,,,,,6.563099861,5.671299934,5.608200073,,5.832099915,7.188499928,7.493899822,7.405900002,7.816999912,10.03040028,11.1718998,11.02910042,11.00300026,10.17650032,7.725299835,6.813199997,5.114900112,4.155700207,
IBRD only,IBD,,,,,4.057494196,,4.97094014,5.177459019,5.574439403,5.881586195,4.979948502,5.931605993,6.374710393,6.398593013,6.290004474,5.550956046,,5.774486896,5.634345807,5.91228992,4.759000019,5.421348174,4.64228116,,,,,,
IDA & IBRD total,IBT,,,,,4.040892753,,,,,,4.996803211,,,,,5.462981055,,,,,4.663669412,,4.65256271,,,,,,
IDA total,IDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA blend,IDB,,,,,,,,,,,,,,,,,,,,,,2.712946419,,3.522794005,3.742578535,4.104626235,,,
Indonesia,IDN,2.50999999,2.539999962,2.670000076,,,,4.369999886,4.679999828,5.460000038,6.300000191,6.077499866,6.08220005,6.604000092,6.65749979,7.302800179,7.9447999,7.550600052,8.060199738,7.208499908,6.105899811,5.613500118,5.15320015,4.468200207,4.335800171,4.048600197,4.513999939,4.300700188,4.184800148,
IDA only,IDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,IMN,2.099999905,,4.300000191,4.900000095,4.699999809,4.400000095,,,,0.800000012,0.600000024,,0.5,0.800000012,1,1.399999976,,1.399999976,1.399999976,,,3.299999952,,2.598130465,1.980000019,,2.667321205,,
India,IND,,,,,2.590899944,,,,,,2.730600119,,,,,3.101999998,,,,,2.443599939,,2.689800024,,,,,,
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,14.08870029,15.77519989,15.03030014,15.58699989,14.56980038,11.98349953,11.71749973,10.20300007,7.698699951,5.80369997,4.317699909,3.683399916,4.215400219,4.478099823,4.490699768,4.342400074,4.414599895,4.980100155,6.773600101,12.60900021,14.53289986,15.35280037,15.45259953,13.7446003,11.85610008,9.903599739,8.366499901,6.710499763,
"Iran, Islamic Rep.",IRN,,11.10000038,,,,,9.100000381,,,,,,12.80000019,,10.30000019,12.10000038,11.19999981,10.60000038,10.47999954,11.97000027,13.52000046,12.44999981,12.63000011,10.43999958,10.56999969,11.06000042,12.43000031,12.10000038,
Iraq,IRQ,,,,,,,,,,,,,,,,,,8.649000168,,,,,7.964700222,,,,,,
Iceland,ISL,,2.548000097,4.304999828,5.256999969,5.326000214,5.195600033,3.600399971,3.720299959,3.069400072,2.178100109,1.936400056,1.873600006,2.988199949,3.997100115,4.030799866,2.546999931,2.829799891,2.2506001,2.945600033,7.220399857,7.56430006,7.028100014,6.000199795,5.376399994,4.897200108,3.979199886,2.977900028,2.741899967,
Israel,ISR,12.24100018,13.38700008,14.07999992,12.74100018,9.934000015,8.781999588,8.454999924,9.751000404,10.7489996,11.18299961,11.10200024,11.81200027,12.88799953,13.50500011,13.02900028,11.34200001,10.70699978,9.37899971,7.703999996,9.534000397,8.479999542,7.138999939,6.856999874,6.208000183,5.889999866,5.250999928,4.797999859,4.215000153,
Italy,ITA,,,,10.23989964,,,,,12.11870003,11.68999958,10.84179974,9.595100403,9.207500458,8.865699768,7.865600109,7.730500221,6.776599884,6.075399876,6.723199844,7.748600006,8.362500191,8.359000206,10.65450001,12.14869976,12.68280029,11.89599991,11.6882,11.2105999,
Jamaica,JAM,15.72000027,15.73999977,15.75,16.31999969,15.34000015,16.22999954,16.01000023,16.35000038,15.5,15.73999977,15.53909969,14.93000031,14.19050026,11.73999977,11.43999958,11.26319981,10.32479954,9.745300293,10.32999992,11.36229992,12.36590004,12.69999981,13.93019962,15.25059986,13.73999977,13.51130009,13.19180012,11.6590004,
Jordan,JOR,,,,19.70000076,,14.60000038,13.69999981,,,,13.69999981,14.69999981,15.30000019,14.5,,14.80000019,14,13.10000038,12.69999981,12.89999962,12.5,12.89999962,12.19999981,12.60000038,11.89999962,13.07499981,15.27499962,,
Japan,JPN,2.099999905,2.099999905,2.200000048,2.5,2.900000095,3.200000048,3.400000095,3.400000095,4.099999905,4.699999809,4.699999809,5,5.400000095,5.300000191,4.699999809,4.400000095,4.099999905,3.900000095,4,5.099999905,5.099999905,4.520999908,4.300000191,4,3.599999905,3.400000095,3.099999905,2.799999952,
Kazakhstan,KAZ,,0.050000001,0.400000006,,,,,,,,,,,,,,,,,6.550000191,5.769999981,5.389999866,5.289999962,5.199999809,5.059999943,4.929999828,4.960000038,4.900000095,
Kenya,KEN,,,,,,,,,,,,,,,,,,,,9.600000381,,,,,,,,,
Kyrgyz Republic,KGZ,,,,,,,,,,,7.539999962,7.840000153,12.55000019,9.920000076,8.529999733,8.109999657,8.270000458,8.100000381,8.220000267,8.409999847,8.640000343,8.529999733,8.430000305,8.329999924,8.050000191,7.559999943,7.210000038,6.889999866,
Cambodia,KHM,,,,,,,0.839999974,,,,2.450000048,1.639999986,,,,,,0.870000005,,0.189999998,0.349999994,0.200000003,,0.300000012,0.180000007,,,,
Kiribati,KIR,,,,,,,,,,,,,,,,14.64999962,,,,,30.57999992,,,,,,,,
St. Kitts and Nevis,KNA,,5.139999866,,,,,,,,,,5.119999886,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,2.453999996,2.407000065,2.513000011,2.878000021,2.476000071,2.062999964,2.048000097,2.60800004,6.962999821,6.342000008,4.400000095,4,3.299999952,3.599999905,3.700000048,3.700000048,3.5,3.200000048,3.200000048,3.599999905,3.700000048,3.400000095,3.200000048,3.099999905,3.5,3.599999905,3.700000048,3.700000048,
Kuwait,KWT,,,,0.800000012,0.699999988,,,,,,,,,,,,,1.5,1.75,1.639999986,1.820000052,,,,2.900000095,2.200000048,2.160000086,,
Latin America & Caribbean (excluding high income),LAC,,,6.234994044,5.494578063,,6.982033853,7.545362317,7.318138982,8.278422341,9.19845249,,7.893293702,8.615652587,8.602533349,7.671805758,7.843431706,6.692336711,7.063165011,6.371909011,7.441768568,,6.479115732,,,,,8.249029297,8.724410804,
Lao PDR,LAO,,,,,,2.599999905,,,,,,,,,,1.350000024,,,,,0.708299994,,,,,,,9.406000137,
Lebanon,LBN,,,,,,,,8.619999886,,,,,,,7.849999905,,,8.979999542,,6.354991913,,,,,,,,,
Liberia,LBR,,,,,,,,,,,,,,,,,,,,,2.26609993,,,,,,,,
Libya,LBY,,,,,,,,,,,,,,,,,,,,,,,19.03000069,,,,,,
St. Lucia,LCA,,,,16.79999924,,,,,,,,,,22.18000031,20.96999931,18.70000076,16,14,12.72000027,15.36999989,,18.86000061,19.05999947,22.20999908,,24.08959961,21.26269913,,
Latin America & Caribbean,LCN,,,6.391414963,6.073031854,,8.048817859,8.433509739,8.05181689,8.74380693,9.676552481,,8.882840048,9.728483024,9.255066094,8.311745313,8.226942702,7.049621903,7.223778947,6.580575065,7.531423253,,6.448172613,,,,,8.153657605,8.597891982,
Least developed countries: UN classification,LDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,LIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,0.150000006,0.519999981,0.75999999,1.360000014,1.019999981,0.899999976,1.600000024,1.340000033,1.779999971,1.779999971,1.269999981,1.120000005,1.450000048,2.109999895,2.400000095,2.660000086,2.460000038,2.00999999,,,,,,,,,,,
Sri Lanka,LKA,15.89999962,14.66139984,14.22000027,13.81000042,13.02999973,12.27000046,11.35000038,10.60000038,9.170000076,8.880000114,7.739999771,7.900000095,8.760000229,8.220000267,8.380000114,7.670000076,6.5,5.96999979,5.21999979,5.849999905,4.940000057,4.110000134,3.880000114,4.440000057,4.400000095,4.670000076,4.369999886,4.179999828,
Lower middle income,LMC,,,,,,,,,,,4.573725358,,,,,4.783020335,,,,,3.533914129,,3.777164078,,,,,,
